Country,Year,Question,Variable,Imp,NotAns
Azerbaijan,1995-1999,Children qualities: Good manners,V19,52.8,47.2
Argentina,1995-1999,Children qualities: Good manners,V19,74.2,25.8
Australia,1995-1999,Children qualities: Good manners,V19,80.4,19.6
Bangladesh,1995-1999,Children qualities: Good manners,V19,95.4,4.6
Brazil,1995-1999,Children qualities: Good manners,V19,52.4,47.6
Chile,1995-1999,Children qualities: Good manners,V19,81.8,18.2
China,1995-1999,Children qualities: Good manners,V19,66.8,33.2
Taiwan,1995-1999,Children qualities: Good manners,V19,69.6,30.4
Croatia,1995-1999,Children qualities: Good manners,V19,64.2,35.8
Finland,1995-1999,Children qualities: Good manners,V19,82,18
Hungary,1995-1999,Children qualities: Good manners,V19,82.8,17.2
India,1995-1999,Children qualities: Good manners,V19,81.6,18.4
Japan,1995-1999,Children qualities: Good manners,V19,81.7,18.3
South Korea,1995-1999,Children qualities: Good manners,V19,90.9,9.1
Mexico,1995-1999,Children qualities: Good manners,V19,75.8,24.2
Moldova,1995-1999,Children qualities: Good manners,V19,63.3,36.7
New Zealand,1995-1999,Children qualities: Good manners,V19,76.6,23.4
Nigeria,1995-1999,Children qualities: Good manners,V19,93.9,6.1
Norway,1995-1999,Children qualities: Good manners,V19,74.8,25.2
Pakistan,1995-1999,Children qualities: Good manners,V19,57.3,42.7
Peru,1995-1999,Children qualities: Good manners,V19,88,12
Philippines,1995-1999,Children qualities: Good manners,V19,80.4,19.6
Poland,1995-1999,Children qualities: Good manners,V19,63.4,36.6
South Africa,1995-1999,Children qualities: Good manners,V19,86.5,13.5
Spain,1995-1999,Children qualities: Good manners,V19,84.5,15.5
Sweden,1995-1999,Children qualities: Good manners,V19,67.2,32.8
Switzerland,1995-1999,Children qualities: Good manners,V19,66.3,33.7
Turkey,1995-1999,Children qualities: Good manners,V19,89.8,10.2
Ukraine,1995-1999,Children qualities: Good manners,V19,48.6,51.4
United States,1995-1999,Children qualities: Good manners,V19,72.8,27.2
Azerbaijan,1995-1999,Children qualities: Hard work,V13,77.1,22.9
Argentina,1995-1999,Children qualities: Hard work,V13,55.5,44.5
Australia,1995-1999,Children qualities: Hard work,V13,35.9,64.1
Bangladesh,1995-1999,Children qualities: Hard work,V13,8.1,91.9
Brazil,1995-1999,Children qualities: Hard work,V13,47.4,52.6
Chile,1995-1999,Children qualities: Hard work,V13,16.8,83.2
China,1995-1999,Children qualities: Hard work,V13,72.7,27.3
Taiwan,1995-1999,Children qualities: Hard work,V13,41.7,58.3
Croatia,1995-1999,Children qualities: Hard work,V13,63.7,36.3
Finland,1995-1999,Children qualities: Hard work,V13,14.7,85.3
Hungary,1995-1999,Children qualities: Hard work,V13,33.7,66.3
India,1995-1999,Children qualities: Hard work,V13,71.6,28.4
Japan,1995-1999,Children qualities: Hard work,V13,24.4,75.6
South Korea,1995-1999,Children qualities: Hard work,V13,62.2,37.8
Mexico,1995-1999,Children qualities: Hard work,V13,33.1,66.9
Moldova,1995-1999,Children qualities: Hard work,V13,87.3,12.7
New Zealand,1995-1999,Children qualities: Hard work,V13,37.1,62.9
Nigeria,1995-1999,Children qualities: Hard work,V13,82.8,17.2
Norway,1995-1999,Children qualities: Hard work,V13,10.7,89.3
Pakistan,1995-1999,Children qualities: Hard work,V13,53,47
Peru,1995-1999,Children qualities: Hard work,V13,62.7,37.3
Philippines,1995-1999,Children qualities: Hard work,V13,57.8,42.2
Poland,1995-1999,Children qualities: Hard work,V13,16,84
South Africa,1995-1999,Children qualities: Hard work,V13,58.5,41.5
Spain,1995-1999,Children qualities: Hard work,V13,64.4,35.6
Sweden,1995-1999,Children qualities: Hard work,V13,6.6,93.4
Switzerland,1995-1999,Children qualities: Hard work,V13,39.6,60.4
Turkey,1995-1999,Children qualities: Hard work,V13,69.3,30.7
Ukraine,1995-1999,Children qualities: Hard work,V13,83.3,16.7
United States,1995-1999,Children qualities: Hard work,V13,52.5,47.5
Azerbaijan,1995-1999,Children qualities: Imagination,,13.8,86.2
Argentina,1995-1999,Children qualities: Imagination,,25.8,74.2
Australia,1995-1999,Children qualities: Imagination,,26.4,73.6
Bangladesh,1995-1999,Children qualities: Imagination,,14.2,85.8
Brazil,1995-1999,Children qualities: Imagination,,7.7,92.3
Chile,1995-1999,Children qualities: Imagination,,24.3,75.7
China,1995-1999,Children qualities: Imagination,,22.1,77.9
Taiwan,1995-1999,Children qualities: Imagination,,15.1,84.9
Croatia,1995-1999,Children qualities: Imagination,,16.7,83.3
Finland,1995-1999,Children qualities: Imagination,,23.5,76.5
Hungary,1995-1999,Children qualities: Imagination,,12.8,87.2
India,1995-1999,Children qualities: Imagination,,10.8,89.2
Japan,1995-1999,Children qualities: Imagination,,25.9,74.1
South Korea,1995-1999,Children qualities: Imagination,,7.8,92.2
Mexico,1995-1999,Children qualities: Imagination,,27.7,72.3
Moldova,1995-1999,Children qualities: Imagination,,12.9,87.1
New Zealand,1995-1999,Children qualities: Imagination,,27.8,72.2
Nigeria,1995-1999,Children qualities: Imagination,,6.1,93.9
Norway,1995-1999,Children qualities: Imagination,,36.6,63.4
Pakistan,1995-1999,Children qualities: Imagination,,7,93
Peru,1995-1999,Children qualities: Imagination,,18.6,81.4
Philippines,1995-1999,Children qualities: Imagination,,9.7,90.3
Poland,1995-1999,Children qualities: Imagination,,11,89
South Africa,1995-1999,Children qualities: Imagination,,10.6,89.4
Spain,1995-1999,Children qualities: Imagination,,21.7,78.3
Sweden,1995-1999,Children qualities: Imagination,,39.1,60.9
